"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",2015-06-15,2015,6,5.55217549990774
"ssp126","Bottom",2015-07-16,2015,7,5.67570973932526
"ssp126","Bottom",2015-08-16,2015,8,5.89430517585621
"ssp126","Bottom",2015-09-15,2015,9,6.00076484837583
"ssp126","Bottom",2015-10-16,2015,10,6.28748081310801
"ssp126","Bottom",2015-11-15,2015,11,6.23868841263118
"ssp126","Bottom",2015-12-16,2015,12,6.24485929863014
"ssp126","Bottom",2016-01-16,2016,1,6.23074443685678
"ssp126","Bottom",2016-02-15,2016,2,5.98688843429547
"ssp126","Bottom",2016-03-16,2016,3,5.83508471306203
"ssp126","Bottom",2016-04-15,2016,4,5.56560364460635
"ssp126","Bottom",2016-05-16,2016,5,5.56516089998218
"ssp126","Bottom",2016-06-15,2016,6,5.68822803015347
"ssp126","Bottom",2016-07-16,2016,7,5.83431923960833
"ssp126","Bottom",2016-08-16,2016,8,5.86239027518448
"ssp126","Bottom",2016-09-15,2016,9,5.93461425748368
"ssp126","Bottom",2016-10-16,2016,10,6.38456154668225
"ssp126","Bottom",2016-11-15,2016,11,6.86284822054675
"ssp126","Bottom",2016-12-16,2016,12,6.41107727015959
"ssp126","Bottom",2017-01-16,2017,1,6.03132366121842
